,emq0,emq,emqw
grid,0.05326734693877551,0.05931428571428572,*0.033289795918367344
naval,0.18952574745859802,*0.02473961851183708,0.028655386746235988
appliance,0.022745396917317723,0.02263607079517898,*0.019915575249608332
election,0.27219307847879276,0.24618482847054274,*0.2221490752919324
steel,0.18769278259248906,0.09924331376386171,*0.08810367160562856
facebook1,0.08177329246717002,0.048790610749794426,*0.03026986618823353
facebook2,0.07569285482132347,*0.03261280959533786,0.03739872278001775
pm2.5,0.01693787629994526,0.018957717569786536,*0.01051902025177887
bio,0.018455459507222962,0.019807887467254558,*0.010997683831897073
blog,0.11573835488393829,*0.02899672846237732,0.03340060757127278
consumption,*0.014579822314274812,0.01518663230267307,0.020505493307586293
video,0.09926972687744866,0.06331418958511659,*0.0384637906045605
gpu,0.036095671712393564,0.03537690904176239,*0.016676240032436816
query,*0.021474550940243996,0.021474550940243996,0.03495653008632711
wave,*0.03337372448979591,0.03337372448979591,0.037965561224489804
air,0.013707722941517403,*0.008367582098769961,0.012108894612888867
year,*0.005361953375964489,0.01120653870983608,0.017738804688144122
