,emqw,gbdt,lgbm
grid,*0.033289795918367344,0.06344489795918368,0.07754897959183674
naval,*0.028655386746235988,0.05383723057719107,0.04728377350102169
appliance,*0.019915575249608332,0.028710020010030868,0.04177409864376457
election,*0.2221490752919324,0.4000176691605263,0.39425080967938114
steel,0.08810367160562856,0.042886194203708886,*0.04008703755474792
facebook1,*0.03026986618823353,0.29002945353965764,0.04754339538013007
facebook2,*0.03739872278001775,0.286513440425054,0.053112810222779396
pm2.5,*0.01051902025177887,0.01847349284541402,0.026673449839705994
bio,*0.010997683831897073,0.022148654257241926,0.030179411541568297
blog,*0.03340060757127278,0.3317128836267331,0.07438853403957002
consumption,0.020505493307586293,*0.016461515701282417,0.022675875386400264
video,*0.0384637906045605,0.06987226391610654,0.06989863416472206
gpu,*0.016676240032436816,0.030440093255845378,0.030334335721043378
query,0.03495653008632711,*0.025796328889583303,0.029789096754066036
wave,*0.037965561224489804,0.04978103741496599,0.050116213151927436
air,*0.012108894612888867,0.014263053800456846,0.013843013359322236
year,0.017738804688144122,*0.012914585540588263,0.01718966698577068
